This is just a great movie, M
It is a film about nothing just a pretext to show ridiculous action scenes, M
Its an empty hollow shell of a movie, M
The characters were all funny and had the peculiarity of not having a true lead character, M
Every single character was hilarious and deserved to be called a lead, M
This movie is a solid example of a bad plot and a very very bad idea all the way, M
This movie has a cutting edge to it, M
This is one of the best movies out there that shows such strong sibling bond for each other, M
Unfortunately this is a bad movie that is just plain bad, M
The film is way too long, M
Excellent bluetooth headset, P
Disappointed with battery, P
Nice headset priced right, P
This is a beautiful phone, P
I love this phone, P
The battery runs down quickly, P
This phone works great, P
The battery is completely useless to me, P
Love this headset, P
Battery life is real good, P
Food was great and so was the serivce, R
The seafood was fresh and generous in portion, R
Now the pizza itself was good the peanut sauce was very tasty, R
Great Pizza and Salads, R
The food was very good, R
Great service and food, R
Service was fantastic, R
Service is quick and friendly, R
The food is very good for your typical bar food, R
Good value great food great service, R
They are so	easy to love but even more easy to identify with, M	
Come hungry leave happy and stuffed, R
Great Hand Free Device, P